,sitename,speciescode,vals,year,GLOB,MANO,RION,ECSP,ALAR,svl
0,SiteA,BUBO,0,2009,4,2,3,3,0,0.845700912549
1,SiteA,BUBO,1,2009,1,5,2,3,3,2.01474632078
2,SiteA,BUBO,2,2009,1,3,0,4,0,8.24622211901
3,SiteA,BUBO,3,2009,1,4,1,3,1,1.90355387999
4,SiteA,BUBO,4,2009,1,3,0,2,0,0.808438430059
5,SiteA,BUBO,5,2009,3,1,0,4,2,1.03668483039
6,SiteA,BUBO,6,2009,1,2,1,4,2,3.6422064654
7,SiteA,BUBO,7,2009,2,4,6,1,1,12.3662385105
8,SiteA,BUBO,8,2009,2,1,2,2,3,1.81816878553
9,SiteA,BUBO,9,2009,2,1,2,2,2,1.9870832575
10,SiteA,BUBO,10,2009,4,3,2,1,5,1.22862256064
11,SiteA,BUBO,11,2009,4,2,1,1,2,7.81156980965
12,SiteA,BUBO,12,2009,4,1,0,4,4,2.99509159935
13,SiteA,BUBO,13,2009,1,2,2,0,1,3.21358988081
14,SiteA,BUBO,14,2009,3,1,2,0,4,3.96242908079
15,SiteA,BUBO,15,2009,7,5,3,0,1,2.48728357012
16,SiteA,BUBO,16,2009,3,2,3,3,1,2.26485154546
17,SiteA,BUBO,17,2009,2,1,2,3,1,3.30391017861
18,SiteA,BUBO,18,2009,2,1,4,2,0,0.927797335055
19,SiteA,BUBO,19,2009,1,2,3,0,4,5.2924638559
20,SiteA,PSRE,0,2009,0,2,1,2,3,0.530309224133
21,SiteA,PSRE,1,2009,1,1,2,4,2,4.06408480062
22,SiteA,PSRE,2,2009,0,2,3,3,1,3.01627195062
23,SiteA,PSRE,3,2009,2,5,4,1,2,1.42401277256
24,SiteA,PSRE,4,2009,2,3,1,3,2,0.621194822698
25,SiteA,PSRE,5,2009,0,1,4,1,1,3.22765669691
26,SiteA,PSRE,6,2009,4,3,1,3,2,5.31538449375
27,SiteA,PSRE,7,2009,1,1,0,1,0,1.09448548683
28,SiteA,PSRE,8,2009,3,3,1,2,2,3.27901643898
29,SiteA,PSRE,9,2009,1,4,3,8,2,1.97531072398
30,SiteA,PSRE,10,2009,2,1,3,2,2,9.60583323076
31,SiteA,PSRE,11,2009,2,4,1,1,2,8.50951554602
32,SiteA,PSRE,12,2009,3,2,3,2,2,5.3852279858
33,SiteA,PSRE,13,2009,1,6,3,2,2,0.521246409401
34,SiteA,PSRE,14,2009,1,2,5,2,4,11.9811170852
35,SiteA,PSRE,15,2009,1,2,4,6,3,0.443323299922
36,SiteA,PSRE,16,2009,3,1,1,3,2,0.877665277703
37,SiteA,PSRE,17,2009,0,0,3,0,2,4.65957666537
38,SiteA,PSRE,18,2009,2,0,0,1,2,6.33591247537
39,SiteA,PSRE,19,2009,1,3,1,0,2,2.80430562837
40,SiteA,RACA,0,2009,2,1,1,1,2,2.49158903292
41,SiteA,RACA,1,2009,1,0,0,0,1,1.13435368651
42,SiteA,RACA,2,2009,0,3,1,3,4,8.08085758625
43,SiteA,RACA,3,2009,0,3,2,2,3,1.92546536729
44,SiteA,RACA,4,2009,3,0,0,3,0,6.14590704294
45,SiteA,RACA,5,2009,1,1,1,0,1,25.4841846397
46,SiteA,RACA,6,2009,0,1,1,3,3,0.781466780067
47,SiteA,RACA,7,2009,1,2,4,3,4,2.852872073
48,SiteA,RACA,8,2009,2,0,2,5,2,1.11698955466
49,SiteA,RACA,9,2009,0,2,1,0,1,13.9377080948
50,SiteA,RACA,10,2009,2,0,2,0,0,3.32726533877
51,SiteA,RACA,11,2009,0,2,2,1,1,0.888868156221
52,SiteA,RACA,12,2009,1,0,8,1,2,0.631773455323
53,SiteA,RACA,13,2009,0,1,0,3,0,0.706404197714
54,SiteA,RACA,14,2009,3,2,2,0,3,1.19992102267
55,SiteA,RACA,15,2009,1,4,0,2,1,1.80949292401
56,SiteA,RACA,16,2009,1,1,3,2,3,2.39361369624
57,SiteA,RACA,17,2009,1,1,1,1,1,2.35653868631
58,SiteA,RACA,18,2009,2,3,4,2,3,2.87996837984
59,SiteA,RACA,19,2009,2,1,5,1,1,13.487481395
60,SiteA,TATO,0,2009,1,2,1,1,1,9.87792660118
61,SiteA,TATO,1,2009,3,0,4,0,1,0.454665843824
62,SiteA,TATO,2,2009,1,3,1,0,2,5.41548216103
63,SiteA,TATO,3,2009,1,4,1,4,2,13.0194280811
64,SiteA,TATO,4,2009,2,3,3,1,2,3.70793890892
65,SiteA,TATO,5,2009,2,1,1,4,2,5.57179940758
66,SiteA,TATO,6,2009,1,2,0,2,2,0.750450362859
67,SiteA,TATO,7,2009,4,2,0,3,6,3.1312835811
68,SiteA,TATO,8,2009,1,4,2,4,3,3.482646836
69,SiteA,TATO,9,2009,2,1,2,1,0,6.77770361568
70,SiteA,TATO,10,2009,2,0,2,3,3,2.78607276511
71,SiteA,TATO,11,2009,2,1,1,4,3,2.70649706312
72,SiteA,TATO,12,2009,3,0,3,1,5,2.29496412939
73,SiteA,TATO,13,2009,0,1,2,1,2,4.84930529855
74,SiteA,TATO,14,2009,0,1,2,1,2,2.07270454748
75,SiteA,TATO,15,2009,1,3,1,5,0,2.18082412049
76,SiteA,TATO,16,2009,1,1,2,1,1,3.16144049417
77,SiteA,TATO,17,2009,4,1,2,0,3,3.12170813018
78,SiteA,TATO,18,2009,1,3,2,1,2,2.91485312079
79,SiteA,TATO,19,2009,1,2,1,2,1,0.448762817453
80,SiteA,TAGR,0,2009,2,2,2,2,3,1.29631799581
81,SiteA,TAGR,1,2009,0,1,4,2,1,3.36837145644
82,SiteA,TAGR,2,2009,1,3,6,3,2,0.708713735252
83,SiteA,TAGR,3,2009,3,1,2,1,3,1.66732259094
84,SiteA,TAGR,4,2009,0,2,1,2,2,1.05488593262
85,SiteA,TAGR,5,2009,2,1,2,5,2,0.483600428224
86,SiteA,TAGR,6,2009,1,1,2,4,8,4.19185992575
87,SiteA,TAGR,7,2009,0,2,3,1,1,1.49779404916
88,SiteA,TAGR,8,2009,4,2,2,2,2,8.36608696751
89,SiteA,TAGR,9,2009,2,1,3,1,1,2.24307116812
90,SiteA,TAGR,10,2009,4,2,0,1,4,2.19684835899
91,SiteA,TAGR,11,2009,2,1,5,5,3,2.68825361239
92,SiteA,TAGR,12,2009,2,0,2,1,1,1.3727827457
93,SiteA,TAGR,13,2009,2,4,1,3,1,0.354652540971
94,SiteA,TAGR,14,2009,0,1,2,1,1,11.721602038
95,SiteA,TAGR,15,2009,3,3,2,4,5,0.314240768643
96,SiteA,TAGR,16,2009,0,0,1,0,2,15.0893523016
97,SiteA,TAGR,17,2009,2,3,3,1,2,3.73906844678
98,SiteA,TAGR,18,2009,3,2,5,2,2,1.23446494327
99,SiteA,TAGR,19,2009,2,0,2,1,2,4.95229050619
100,SiteB,BUBO,0,2009,4,2,1,3,1,1.50721522434
101,SiteB,BUBO,1,2009,3,2,1,5,2,0.761989309463
102,SiteB,BUBO,2,2009,2,0,2,1,2,6.16587755639
103,SiteB,BUBO,3,2009,2,2,2,5,2,2.15281997171
104,SiteB,BUBO,4,2009,2,0,3,2,0,2.39298512047
105,SiteB,BUBO,5,2009,1,4,0,1,3,1.56098840513
106,SiteB,BUBO,6,2009,3,2,2,2,0,2.49369020838
107,SiteB,BUBO,7,2009,1,2,0,1,1,6.71202244997
108,SiteB,BUBO,8,2009,0,0,2,3,1,1.25975343403
109,SiteB,BUBO,9,2009,4,2,3,1,2,6.76824862596
110,SiteB,BUBO,10,2009,0,3,1,4,1,1.40393852549
111,SiteB,BUBO,11,2009,3,0,0,4,2,1.03760993758
112,SiteB,BUBO,12,2009,1,5,2,1,1,0.44067635481
113,SiteB,BUBO,13,2009,3,1,1,3,1,4.04349290419
114,SiteB,BUBO,14,2009,2,1,3,3,1,1.12093462885
115,SiteB,BUBO,15,2009,1,2,1,2,2,1.80960174282
